order_id,stage,start_time,end_time,territory,working_hours,delivery_rating,duration_minutes,date,hour,is_canceled,order_status
10017161163,Order Created,2022-12-03 16:28:00,2022-12-03 16:28:00,13,с 10 до 22,,0.0,2022-12-03,16,0,In Progress
10017161163,Order Received,2022-12-03 16:28:00,2022-12-03 16:29:00,13,с 10 до 22,,1.0000000000000002,2022-12-03,16,0,In Progress
10017161163,Order Assembly,2022-12-03 16:29:00,2022-12-03 16:53:00,13,с 10 до 22,,24.0,2022-12-03,16,0,In Progress
10017161163,Order Packaging,2022-12-03 16:53:00,2022-12-03 16:55:00,13,с 10 до 22,,2.0000000000000004,2022-12-03,16,0,In Progress
10017161163,Payment,2022-12-03 16:55:00,2022-12-03 16:56:00,13,с 10 до 22,,1.0000000000000002,2022-12-03,16,0,In Progress
10017161163,Order Canceled,2022-12-03 16:56:00,2022-12-03 16:56:00,13,с 10 до 22,,0.0,2022-12-03,16,1,In Progress
10027814634,Order Created,2022-11-16 15:20:00,2022-11-16 15:20:00,13,с 10 до 22,1.0,0.0,2022-11-16,15,0,In Progress
10027814634,Order Received,2022-11-16 15:20:00,2022-11-16 15:21:00,13,с 10 до 22,1.0,1.0000000000000002,2022-11-16,15,0,In Progress
10027814634,Order Assembly,2022-11-16 15:21:00,2022-11-16 15:45:00,13,с 10 до 22,1.0,24.0,2022-11-16,15,0,In Progress
10027814634,Order Packaging,2022-11-16 15:45:00,2022-11-16 15:46:00,13,с 10 до 22,1.0,1.0000000000000002,2022-11-16,15,0,In Progress
10027814634,Payment,2022-11-16 15:46:00,2022-11-16 15:47:00,13,с 10 до 22,1.0,1.0000000000000002,2022-11-16,15,0,In Progress
10027814634,Transfer to Courier,2022-11-16 15:47:00,2022-11-16 15:52:00,13,с 10 до 22,1.0,5.0,2022-11-16,15,0,In Progress
10027814634,Delivery,2022-11-16 15:52:00,2022-11-16 16:25:00,13,с 10 до 22,1.0,33.00000000000001,2022-11-16,15,0,In Progress
10027814634,Order Verification,2022-11-16 16:25:00,2022-11-16 16:26:00,13,с 10 до 22,1.0,1.0000000000000002,2022-11-16,16,0,In Progress
